;ticker;Tax Effect Of Unusual Items;Tax Rate For Calcs;Normalized EBITDA;Net Income From Continuing Operation Net Minority Interest;Net Interest Income;EBIT;Interest Expense;Normalized Income;Diluted NI Availto Com Stockholders;Net Income Common Stockholders;Net Income Including Noncontrolling Interests;Net Income Continuous Operations;Tax Provision;Pretax Income;Selling General And Administration;Total Revenue;Operating Revenue;cluster
29;DXCO3.SA;0.0728773657749292;-0.47065239528648023;-0.4049635431454593;-0.4110913916393137;-0.1933685058398769;-0.43296064507685983;-0.2894886729924991;-0.40616903786571923;-0.41191616476863535;-0.41191876986862536;-0.4297986655796257;-0.42235851652153755;-0.33717797799438554;-0.4120828129381643;-0.3600902121700094;-0.5005131870382794;-0.5088900510953698;3
30;DIRR3.SA;0.06301467615686271;-0.6616126834932886;-0.5083829295863077;-0.4794439397270332;-0.15813458872991984;-0.4809424224490639;-0.2843246501406002;-0.47151731655518314;-0.48189527045139036;-0.48189793246661106;-0.4901930042754802;-0.48183043418490196;-0.3758471805852671;-0.46756425852761074;-0.4453641120985443;-0.6222507857617149;-0.6298600061456918;3
31;ECOR3.SA;-0.02496994848240887;1.3778919274817365;-0.3842065947648143;-0.4739218002731578;-0.2302744289944734;-0.38745639961186357;-0.26028640241196127;-0.46216480972256263;-0.4771809745090061;-0.47718363269000746;-0.4954488475612611;-0.48611190858244757;-0.29507197972103055;-0.4500487380013165;-0.45033731768251806;-0.547200594897491;-0.5552830610558795;3
32;ELET3.SA;1.5367696342093082;-0.14248835041504898;0.15650869882157498;-0.1742095651117632;-0.5558630518452458;0.33042068036832756;-0.1246235199643395;-0.4033159994118799;-0.04315935887090174;-0.043161664054531076;-0.07444677268644971;-0.1926028219715243;-0.1405345967903549;-0.18557925663530733;-0.10172855096855365;-0.007952439965034544;-0.01943525604582;3
33;ELET6.SA;1.5367696342093082;-0.14248835041504898;0.15650869882157498;-0.1742095651117632;-0.5558630518452458;0.33042068036832756;-0.1246235199643395;-0.4033159994118799;-0.04315935887090174;-0.043161664054531076;-0.07444677268644971;-0.1926028219715243;-0.1405345967903549;-0.18557925663530733;-0.10172855096855365;-0.007952439965034544;-0.01943525604582;3
34;EMBR3.SA;0.0716340483976621;-1.6981683551317357;-0.536986608735778;-0.5287067267488166;-0.15563859710121186;-0.5314041951226425;-0.28232225244655307;-0.5227712767516484;-0.5323303438417823;-0.5323330468767304;-0.5495604130267436;-0.5402911065158466;-0.39328321482429407;-0.5168057428297472;-0.43347781093967275;-0.5764784647332376;-0.5843763127311127;3
35;ENGI11.SA;0.07835090328694465;0.004509458648282715;0.02543147904687885;-0.23870337565111244;-0.30011358624861967;0.06441641647412236;-0.2044688209413179;-0.23594919068213527;-0.23542590176048614;-0.235428363317858;-0.2241284901232577;-0.2198296039665199;-0.13504767462121317;-0.20500960206398958;-0.41292968333178365;-0.19757017644430014;-0.2078573154520632;3
36;ENEV3.SA;0.2197529289483977;0.3723797628001005;-0.37480429939013027;-0.4585851897205745;-0.19762813227210307;-0.3749624928143709;-0.2564207901227242;-0.46940136612457545;-0.46054015331312537;-0.46054279795985575;-0.47792339270845074;-0.46974822011264283;-0.3413803570354205;-0.4494425943053415;-0.45861455290010505;-0.5459055709908326;-0.5539962032122855;3
37;EGIE3.SA;-0.39894605835763935;-0.2913690225404912;0.037426013910318676;-0.17277483098623655;-0.3192299979393425;0.01944008708947484;-0.22434754350807007;-0.08565870417867072;-0.1679284825173478;-0.16793088917788787;-0.1948753320629071;-0.19102323825201342;-0.16765486215109127;-0.1913513257032849;-0.46728899448703304;-0.43467908345151707;-0.44347107918216944;3
38;EQTL3.SA;-0.7116396701126902;0.5076611004559304;0.13141786995966315;-0.3338595362044489;-0.2803711905754907;0.05157077983125225;-0.1930242572621949;-0.24958189483833257;-0.3328464544980585;-0.33284899528927;-0.28670604428657515;-0.281451392186067;-0.11332958852237945;-0.24659197320495777;-0.3727952471442549;-0.1591951161701169;-0.16972423770861603;3
